Wall time,Step,Value
1742698713.8318796,0,0.00019999999494757503
1742699016.9611897,1,0.00019999999494757503
1742699318.8040752,2,0.00019999999494757503
1742699620.5649216,3,0.00019999999494757503
1742699923.303884,4,0.00019999999494757503
1742700225.3802595,5,0.00019999999494757503
1742700527.7162864,6,0.00019999999494757503
1742700830.4651976,7,0.00019999999494757503
1742701132.1540892,8,0.00019999999494757503
1742701433.7814898,9,0.00019999999494757503
1742701736.4419231,10,0.00019999999494757503
1742702038.853474,11,0.00019999999494757503
1742702340.342122,12,0.00019999999494757503
1742702642.8474267,13,0.00019999999494757503
1742702945.1123433,14,0.00019999999494757503
1742703246.9192271,15,0.00019999999494757503
1742703548.6929317,16,0.00019999999494757503
1742703850.274677,17,9.999999747378752e-05
1742704152.9643075,18,9.999999747378752e-05
1742704454.7332685,19,9.999999747378752e-05
1742704756.0487013,20,9.999999747378752e-05
1742705057.0440562,21,9.999999747378752e-05
1742705359.071022,22,9.999999747378752e-05
1742705660.8849666,23,9.999999747378752e-05
1742705962.2318091,24,9.999999747378752e-05
1742706263.743732,25,9.999999747378752e-05
1742706565.233257,26,9.999999747378752e-05
1742706866.7160072,27,9.999999747378752e-05
1742707168.4534283,28,9.999999747378752e-05
1742707469.4375014,29,4.999999873689376e-05
1742707770.798501,30,4.999999873689376e-05
1742708071.931118,31,4.999999873689376e-05
1742708374.5084913,32,4.999999873689376e-05
1742708675.7471597,33,4.999999873689376e-05
1742708977.9903295,34,4.999999873689376e-05
1742709279.334131,35,4.999999873689376e-05
1742709580.2585711,36,2.499999936844688e-05
1742709882.476512,37,2.499999936844688e-05
1742710184.5072865,38,2.499999936844688e-05
1742710486.524177,39,2.499999936844688e-05
1742710788.1874287,40,2.499999936844688e-05
1742711089.6661637,41,2.499999936844688e-05
1742711391.9847772,42,2.499999936844688e-05
1742711693.7034419,43,2.499999936844688e-05
1742711995.3073049,44,2.499999936844688e-05
1742712296.5686862,45,2.499999936844688e-05
1742712597.5922105,46,2.499999936844688e-05
1742712899.5073547,47,2.499999936844688e-05
1742713200.7576742,48,2.499999936844688e-05
1742713502.8225496,49,2.499999936844688e-05
1742713804.4621084,50,2.499999936844688e-05
1742714105.5817444,51,1.249999968422344e-05
1742714407.6375785,52,1.249999968422344e-05
1742714709.3588202,53,1.249999968422344e-05
1742715011.0973659,54,1.249999968422344e-05
1742715312.8080406,55,1.249999968422344e-05
1742715614.656892,56,1.249999968422344e-05
1742715916.1606145,57,1.249999968422344e-05
1742716218.5761871,58,6.24999984211172e-06
1742716519.5488415,59,6.24999984211172e-06
1742716821.325671,60,6.24999984211172e-06
1742717124.614762,61,6.24999984211172e-06
1742717427.2793581,62,3.12499992105586e-06
1742717730.84534,63,3.12499992105586e-06
1742718033.405035,64,3.12499992105586e-06
1742718335.4862988,65,3.12499992105586e-06
1742718637.5531974,66,1.56249996052793e-06
1742718939.1690748,67,1.56249996052793e-06
1742719240.9954033,68,1.56249996052793e-06
1742719542.8809779,69,1.56249996052793e-06
1742719844.389154,70,7.81249980263965e-07
1742720145.7778788,71,7.81249980263965e-07
1742720446.688273,72,7.81249980263965e-07
1742720748.4836848,73,7.81249980263965e-07
1742721049.708547,74,3.906249901319825e-07
1742721351.7836099,75,3.906249901319825e-07
1742721653.5790617,76,3.906249901319825e-07
1742721955.1403234,77,3.906249901319825e-07
1742722256.9894834,78,1.9531249506599124e-07
1742722557.9776547,79,1.9531249506599124e-07
1742722859.8362753,80,1.9531249506599124e-07
1742723161.8847654,81,1.9531249506599124e-07
1742723463.3461707,82,9.765624753299562e-08
1742723764.8878148,83,9.765624753299562e-08
1742724066.8041027,84,9.765624753299562e-08
1742724367.7277648,85,9.765624753299562e-08
1742724669.8386278,86,4.882812376649781e-08
1742724972.1664233,87,4.882812376649781e-08
1742725273.9823964,88,4.882812376649781e-08
1742725576.3290207,89,4.882812376649781e-08
1742725878.2743342,90,2.4414061883248905e-08
1742726179.5365417,91,2.4414061883248905e-08
1742726481.5506387,92,2.4414061883248905e-08
1742726782.6737008,93,2.4414061883248905e-08
1742727084.6919265,94,1.2207030941624453e-08
1742727386.638558,95,1.2207030941624453e-08
1742727688.2947438,96,1.2207030941624453e-08
1742727989.4249792,97,1.2207030941624453e-08
1742728290.7587771,98,1.2207030941624453e-08
1742728592.861851,99,1.2207030941624453e-08
