// filepath: /Users/sydg/VSCode/FFDSR/实验结果csv/处理后/no_cbam_avg_Learning_Rate.csv
Step,Value,Wall time
0,0.0001999999949475,1742729763.0619154
1,0.0001999999949475,1742730075.2839165
2,0.0001999999949475,1742730385.3650994
3,0.0001999999949475,1742730695.583892
4,0.0001999999949475,1742731005.589157
5,0.0001999999949475,1742731315.597454
6,0.0001999999949475,1742731625.1623275
7,0.0001999999949475,1742731934.3509018
8,0.0001999999949475,1742732243.7698867
9,0.0001999999949475,1742732552.9296193
10,0.0001999999949475,1742732863.3561685
11,0.0001999999949475,1742733172.6016688
12,0.0001999999949475,1742733482.2816136
13,0.00017999999545275752,1742733791.200109
14,0.00017999999545275752,1742734100.5720823
15,0.000159999995958015,1742734410.685536
16,0.000159999995958015,1742734720.67796
17,0.000159999995958015,1742735030.6372766
18,0.000159999995958015,1742735340.436515
19,0.000159999995958015,1742735649.6747346
20,0.00014999999621063625,1742735960.277099
21,0.00014999999621063625,1742736269.4800696
22,9.999999747377251e-05,1742736579.2956529
23,9.999999747377251e-05,1742736888.3043675
24,9.499999760008314e-05,1742737197.9574182
25,9.499999760008314e-05,1742737508.031418
26,9.499999760008314e-05,1742737817.9821284
27,9.499999760008314e-05,1742738127.2020376
28,8.499999785270439e-05,1742738436.332595
29,8.24999979158597e-05,1742738745.7244556
30,8.24999979158597e-05,1742739056.369459
31,7.249999816848095e-05,1742739366.094303
32,7.249999816848095e-05,1742739675.317881
33,7.249999816848095e-05,1742739985.3976266
34,6.624999832636923e-05,1742740294.94259
35,4.124999895793735e-05,1742740604.6412475
36,4.124999895793735e-05,1742740913.7842083
37,4.124999895793735e-05,1742741223.1111848
38,3.812499903688149e-05,1742741532.2501338
39,3.812499903688149e-05,1742741841.4309714
40,3.812499903688149e-05,1742742150.9960077
41,3.812499903688149e-05,1742742460.2595675
42,3.656249907635356e-05,1742742770.112398
43,3.1562499202664185e-05,1742743079.9059663
44,2.1562499455285433e-05,1742743389.7676227
45,2.1562499455285433e-05,1742743699.4187238
46,2.1562499455285433e-05,1742744009.625661
47,2.093749947107426e-05,1742744319.5813687
48,2.093749947107426e-05,1742744628.8344154
49,1.8437499534229573e-05,1742744938.187958
50,1.5781249601332092e-05,1742745248.075876
51,1.5468749609226506e-05,1742745557.9716382
52,1.5468749609226506e-05,1742745868.2780254
53,1.4218749640804162e-05,1742746178.5184276
54,1.2968749672381819e-05,1742746487.9510477
55,7.734374804613253e-06,1742746797.80766
56,7.734374804613253e-06,1742747107.0612476
57,7.109374820402081e-06,1742747416.2867885
58,7.109374820402081e-06,1742747726.459293
59,3.867187402306627e-06,1742748036.2161796
60,3.867187402306627e-06,1742748345.5617647
61,3.5546874102010406e-06,1742748655.982252
62,3.5546874102010406e-06,1742748965.3766856
63,3.5156249111878424e-06,1742749275.7410164
64,3.5156249111878424e-06,1742749585.3020003
65,3.0468749230294634e-06,1742749895.2950015
66,1.7968749546071194e-06,1742750205.476227
67,1.7578124555939212e-06,1742750515.178914
68,1.7578124555939212e-06,1742750824.770716
69,1.6015624595411282e-06,1742751134.2712617
70,1.6015624595411282e-06,1742751444.25757
71,1.582031210034529e-06,1742751753.841081
72,1.582031210034529e-06,1742752063.2503705
73,1.425781213981736e-06,1742752373.0565238
74,1.425781213981736e-06,1742752682.4960089
75,1.4160155892284365e-06,1742752992.068212
76,1.4160155892284365e-06,1742753301.7992222
77,7.12890606990868e-07,1742753611.860699
78,7.12890606990868e-07,1742753922.1983309
79,7.080077946142183e-07,1742754231.701283
80,7.080077946142183e-07,1742754541.718892
81,3.56445303495434e-07,1742754851.0834613
82,3.56445303495434e-07,1742755160.9486833
83,3.56445303495434e-07,1742755470.1996107
84,3.56445303495434e-07,1742755780.2406454
85,1.806640579360419e-07,1742756089.3450725
86,1.806640579360419e-07,1742756399.054621
87,1.806640579360419e-07,1742756708.8526208
88,1.806640579360419e-07,1742757019.1192636
89,9.277343515634584e-08,1742757328.5291133
90,9.277343515634584e-08,1742757638.6772835
91,9.277343515634584e-08,1742757947.8442357
92,9.277343515634584e-08,1742758257.1517656
93,4.882812376649781e-08,1742758566.5844593
94,4.882812376649781e-08,1742758876.0981126
95,4.882812376649781e-08,1742759185.6728263
96,4.882812376649781e-08,1742759494.8961632
97,2.9296874259898686e-08,1742759804.512672
98,2.9296874259898686e-08,1742760114.140853
99,2.9296874259898686e-08,1742760433.7713614
