// filepath: /Users/sydg/VSCode/FFDSR/实验结果csv/处理后/no_semantic_avg_Learning_Rate.csv
Step,Value,Wall time
0,0.0001999999949475,1742574787.3833764
1,0.0001999999949475,1742575091.2566268
2,0.0001999999949475,1742575393.6475835
3,0.0001999999949475,1742575695.1151755
4,0.0001999999949475,1742575996.9343593
5,0.0001999999949475,1742576297.9791918
6,0.0001999999949475,1742576600.0642023
7,0.0001999999949475,1742576902.1237814
8,0.0001999999949475,1742577203.8252947
9,0.0001999999949475,1742577504.8922284
10,0.0001999999949475,1742577806.4983304
11,0.0001999999949475,1742578108.101714
12,0.0001999999949475,1742578409.908779
13,0.0001999999949475,1742578712.009282
14,0.0001999999949475,1742579013.8403764
15,0.00017999999545275752,1742579315.368541
16,0.00017999999545275752,1742579617.290517
17,0.000159999995958015,1742579919.287289
18,0.000159999995958015,1742580220.4993846
19,0.000159999995958015,1742580522.172246
20,0.00013999999646327252,1742580823.4565256
21,0.00013999999646327252,1742581124.7070062
22,0.00013999999646327252,1742581426.039811
23,0.00011999999696853002,1742581727.4910362
24,0.00011999999696853002,1742582029.490026
25,8.999999772640876e-05,1742582331.7833543
26,7.999999797903001e-05,1742582633.677178
27,7.999999797903001e-05,1742582934.996938
28,7.999999797903001e-05,1742583236.7614086
29,6.999999823165126e-05,1742583537.6011891
30,6.499999835796189e-05,1742583838.829642
31,6.499999835796189e-05,1742584140.5175834
32,5.4999998610583134e-05,1742584442.3542938
33,5.4999998610583134e-05,1742584744.3705783
34,5.4999998610583134e-05,1742585045.4355433
35,5.2499998673738446e-05,1742585347.051775
36,3.249999917898094e-05,1742585647.9747748
37,3.249999917898094e-05,1742585949.7687438
38,2.7499999305291567e-05,1742586250.4614356
39,2.7499999305291567e-05,1742586551.947151
40,2.6249999336869223e-05,1742586852.5490563
41,2.1249999463179847e-05,1742587153.7502851
42,2.1249999463179847e-05,1742587454.9326444
43,1.624999958949047e-05,1742587757.5186496
44,1.624999958949047e-05,1742588058.519865
45,1.3749999652645783e-05,1742588360.5538547
46,1.3749999652645783e-05,1742588661.4710796
47,1.1874999700012268e-05,1742588962.8815205
48,1.1874999700012268e-05,1742589263.9983287
49,1.1874999700012268e-05,1742589565.7301445
50,1.1874999700012268e-05,1742589867.527476
51,7.187499818428478e-06,1742590169.2006905
52,7.187499818428478e-06,1742590470.1937706
53,7.187499818428478e-06,1742590779.4485283
54,7.187499818428478e-06,1742591080.984517
55,6.24999984211172e-06,1742591382.515273
56,4.999999873689376e-06,1742591684.3105843
57,4.999999873689376e-06,1742591985.8997064
58,3.749999905267032e-06,1742592287.1372085
59,3.437499913161446e-06,1742592588.8606946
60,3.12499992105586e-06,1742592890.4985814
61,3.12499992105586e-06,1742593192.0943265
62,2.499999936844688e-06,1742593494.2940683
63,2.4218749388182914e-06,1742593796.0256484
64,1.6406249585543264e-06,1742594097.6936483
65,1.6406249585543264e-06,1742594399.4823446
66,1.3281249664487405e-06,1742594701.0344882
67,1.2109374694091457e-06,1742595002.9559348
68,8.203124792771632e-07,1742595304.6201422
69,8.203124792771632e-07,1742595606.549927
70,6.640624832243702e-07,1742595908.21829
71,6.054687347045729e-07,1742596209.2603705
72,4.101562396385816e-07,1742596511.136044
73,4.101562396385816e-07,1742596812.8954089
74,3.320312416121851e-07,1742597114.0065064
75,3.027343673522864e-07,1742597414.8990295
76,2.050781198192908e-07,1742597715.9033506
77,2.050781198192908e-07,1742598016.773649
78,1.6601562080609256e-07,1742598318.7137268
79,1.513671836761432e-07,1742598620.419197
80,1.0253905990964543e-07,1742598922.543023
81,1.0253905990964543e-07,1742599223.585032
82,8.300781040304629e-08,1742599524.9498076
83,7.56835918380716e-08,1742599826.3829308
84,5.12695299548227e-08,1742600127.4457722
85,5.12695299548227e-08,1742600428.9150238
86,4.150390520152314e-08,1742600730.3180425
87,3.906249901319825e-08,1742601032.1905284
88,2.6855468071573796e-08,1742601333.1496031
89,2.6855468071573796e-08,1742601634.815751
90,2.1972655694924015e-08,1742601937.249499
91,2.1972655694924015e-08,1742602239.2358327
92,1.7089843318274234e-08,1742602540.5967238
93,1.7089843318274234e-08,1742602842.8133051
94,1.4648437129949343e-08,1742603144.8413258
95,1.4648437129949343e-08,1742603446.3379269
96,1.2207030941624453e-08,1742603748.2896152
97,1.2207030941624453e-08,1742604050.1458566
98,1.2207030941624453e-08,1742604351.0259714
99,1.2207030941624453e-08,1742604652.582929
