// filepath: /Users/sydg/VSCode/FFDSR/实验结果csv/处理后/run_avg_Learning_Rate.csv
Step,Value,Wall time
0,0.0001999999949475,1742244585.7906551
1,0.0001999999949475,1742244898.641859
2,0.0001999999949475,1742245210.3492918
3,0.0001999999949475,1742245524.4970255
4,0.0001999999949475,1742245836.2228951
5,0.0001999999949475,1742246147.8464582
6,0.0001999999949475,1742246459.8968103
7,0.0001999999949475,1742246771.3367257
8,0.0001999999949475,1742247084.171636
9,0.0001999999949475,1742247395.1509252
10,0.0001999999949475,1742247706.867813
11,0.0001999999949475,1742248018.8284185
12,0.0001999999949475,1742248330.3551216
13,0.0001999999949475,1742248642.2210827
14,0.0001999999949475,1742248954.0118482
15,0.0001999999949475,1742249265.7703109
16,0.0001999999949475,1742249577.6747584
17,0.0001999999949475,1742249889.14958
18,0.0001999999949475,1742250200.9820812
19,0.00017999999545275752,1742250512.541372
20,0.000159999995958015,1742250824.1824164
21,0.00013999999646327252,1742251136.193864
22,0.00013999999646327252,1742251447.227638
23,0.00013999999646327252,1742251759.7229743
24,0.00013999999646327252,1742252071.544565
25,0.00010999999722115127,1742252382.441424
26,0.00010999999722115127,1742252694.2920458
27,9.999999747377251e-05,1742253005.45112
28,9.999999747377251e-05,1742253316.9959252
29,9.999999747377251e-05,1742253628.706282
30,9.499999760008314e-05,1742253940.8787766
31,7.499999810534064e-05,1742254252.8513613
32,7.499999810534064e-05,1742254564.7686155
33,7.499999810534064e-05,1742254875.8580678
34,5.999999848427251e-05,1742255187.4279974
35,4.999999873689376e-05,1742255499.2025554
36,4.999999873689376e-05,1742255810.657967
37,3.9999998989515007e-05,1742256122.8637097
38,3.749999905267032e-05,1742256434.22251
39,3.249999917898094e-05,1742256746.6352248
40,3.249999917898094e-05,1742257058.637736
41,2.7499999305291567e-05,1742257370.3742805
42,2.7499999305291567e-05,1742257681.9861796
43,2.499999936844688e-05,1742257994.211128
44,2.499999936844688e-05,1742258305.976196
45,1.4999999621068127e-05,1742258617.7361755
46,1.4999999621068127e-05,1742258929.955118
47,1.3749999652645783e-05,1742259241.6096928
48,1.3749999652645783e-05,1742259553.665455
49,9.999999747378752e-06,1742259865.684055
50,8.749999778956408e-06,1742260177.14158
51,8.124999794745236e-06,1742260489.1998682
52,8.124999794745236e-06,1742260800.9562826
53,4.999999873689376e-06,1742261113.132584
54,4.374999889478204e-06,1742261425.1200192
55,4.374999889478204e-06,1742261736.9893312
56,4.374999889478204e-06,1742262048.6736848
57,3.749999905267032e-06,1742262360.9054103
58,2.812499928950274e-06,1742262673.149469
59,2.812499928950274e-06,1742262984.4903972
60,2.812499928950274e-06,1742263298.3038738
61,2.656249932897481e-06,1742263611.772038
62,2.187499944739102e-06,1742263924.8347456
63,2.187499944739102e-06,1742264237.5619316
64,2.187499944739102e-06,1742264549.588436
65,2.187499944739102e-06,1742264861.2406557
66,1.9531249506599124e-06,1742265172.9778438
67,1.249999968422344e-06,1742265485.0816624
68,1.249999968422344e-06,1742265796.4391394
69,1.093749972369551e-06,1742266108.242664
70,9.765624753299562e-07,1742266420.1132865
71,6.24999984211172e-07,1742266732.2141476
72,6.24999984211172e-07,1742267044.606193
73,5.468749861847755e-07,1742267357.229427
74,4.882812376649781e-07,1742267669.6183968
75,3.12499992105586e-07,1742267980.974117
76,3.12499992105586e-07,1742268293.0281482
77,2.7343749309238774e-07,1742268604.7821307
78,2.4414061883248905e-07,1742268917.137576
79,1.56249996052793e-07,1742269228.917586
80,1.56249996052793e-07,1742269540.5027933
81,1.3671874654619387e-07,1742269852.9482548
82,1.2207030941624453e-07,1742270164.667239
83,7.81249980263965e-08,1742270476.411916
84,7.81249980263965e-08,1742270788.4753735
85,6.835937327309694e-08,1742271099.904201
86,6.103515470812228e-08,1742271411.6901202
87,3.906249901319825e-08,1742271723.3831491
88,3.906249901319825e-08,1742272035.2393785
89,3.417968663654847e-08,1742272347.275681
90,3.173828044822358e-08,1742272659.849671
91,3.173828044822358e-08,1742272971.7665322
92,3.173828044822358e-08,1742273283.6662965
93,1.9531249506599124e-08,1742273595.422889
94,1.9531249506599124e-08,1742273907.3122618
95,1.9531249506599124e-08,1742274219.582296
96,1.9531249506599124e-08,1742274532.1619234
97,1.4648437129949343e-08,1742274843.7155771
98,1.4648437129949343e-08,1742275155.8727589
99,1.4648437129949343e-08,1742275467.177815
