// filepath: /Users/sydg/VSCode/FFDSR/实验结果csv/处理后/srcnn_avg_Learning_Rate.csv
Step,Value,Wall time
0,9.999999747378752e-05,1742512858.9964445
1,9.999999747378752e-05,1742513106.0089474
2,9.999999747378752e-05,1742513353.201565
3,9.999999747378752e-05,1742513599.862853
4,9.999999747378752e-05,1742513846.5669837
5,9.999999747378752e-05,1742514092.8985903
6,9.999999747378752e-05,1742514339.7892904
7,9.999999747378752e-05,1742514585.845407
8,9.999999747378752e-05,1742514831.8827684
9,9.999999747378752e-05,1742515078.090162
10,4.999999873689376e-05,1742515324.5642862
11,4.999999873689376e-05,1742515571.5647614
12,4.999999873689376e-05,1742515817.9416964
13,4.999999873689376e-05,1742516064.8503537
14,4.999999873689376e-05,1742516311.37515
15,4.999999873689376e-05,1742516558.2993152
16,4.999999873689376e-05,1742516805.2369034
17,4.999999873689376e-05,1742517052.1775827
18,4.999999873689376e-05,1742517298.6777627
19,4.999999873689376e-05,1742517545.5336616
20,2.499999936844688e-05,1742517792.0647192
21,2.499999936844688e-05,1742518038.6612656
22,2.499999936844688e-05,1742518284.6428652
23,2.499999936844688e-05,1742518531.764625
24,2.499999936844688e-05,1742518777.9397595
25,2.499999936844688e-05,1742519024.4981923
26,2.499999936844688e-05,1742519272.6144395
27,2.499999936844688e-05,1742519519.872337
28,2.499999936844688e-05,1742519766.430668
29,2.499999936844688e-05,1742520013.1282053
30,1.249999968422344e-05,1742520259.606263
31,1.249999968422344e-05,1742520506.78083
32,1.249999968422344e-05,1742520753.83294
33,1.249999968422344e-05,1742521000.440209
34,1.249999968422344e-05,1742521246.8085055
35,1.249999968422344e-05,1742521493.3614557
36,1.249999968422344e-05,1742521739.506976
37,1.249999968422344e-05,1742521986.5108569
38,1.249999968422344e-05,1742522233.518485
39,1.249999968422344e-05,1742522480.1887455
40,6.24999984211172e-06,1742522727.3109827
41,6.24999984211172e-06,1742522974.111368
42,6.24999984211172e-06,1742523220.8161812
43,6.24999984211172e-06,1742523467.6105163
44,6.24999984211172e-06,1742523714.2242377
45,6.24999984211172e-06,1742523960.8070884
46,6.24999984211172e-06,1742524207.1799064
47,6.24999984211172e-06,1742524453.597703
48,6.24999984211172e-06,1742524700.2453833
49,6.24999984211172e-06,1742524946.9390807
50,3.12499992105586e-06,1742525193.6379602
51,3.12499992105586e-06,1742525440.546172
52,3.12499992105586e-06,1742525687.232629
53,3.12499992105586e-06,1742525934.1425605
54,3.12499992105586e-06,1742526180.785642
55,3.12499992105586e-06,1742526427.535888
56,3.12499992105586e-06,1742526674.543301
57,3.12499992105586e-06,1742526921.1691384
58,3.12499992105586e-06,1742527168.0473392
59,3.12499992105586e-06,1742527414.4951267
60,1.56249996052793e-06,1742527662.3945794
61,1.56249996052793e-06,1742527908.4352963
62,1.56249996052793e-06,1742528154.5484564
63,1.56249996052793e-06,1742528400.720465
64,1.56249996052793e-06,1742528647.3293188
65,1.56249996052793e-06,1742528894.173247
66,1.56249996052793e-06,1742529140.5753615
67,1.56249996052793e-06,1742529387.4941084
68,1.56249996052793e-06,1742529633.7896435
69,1.56249996052793e-06,1742529880.4918578
70,7.81249980263965e-07,1742530126.5700667
71,7.81249980263965e-07,1742530373.3955176
72,7.81249980263965e-07,1742530619.891659
73,7.81249980263965e-07,1742530866.3993518
74,7.81249980263965e-07,1742531112.9999442
75,7.81249980263965e-07,1742531359.2066047
76,7.81249980263965e-07,1742531605.3850255
77,7.81249980263965e-07,1742531851.5158365
78,7.81249980263965e-07,1742532097.6252627
79,7.81249980263965e-07,1742532344.1330898
80,3.906249901319825e-07,1742532590.8693173
81,3.906249901319825e-07,1742532837.9754517
82,3.906249901319825e-07,1742533084.225249
83,3.906249901319825e-07,1742533330.787202
84,3.906249901319825e-07,1742533576.8117807
85,3.906249901319825e-07,1742533823.7873244
86,3.906249901319825e-07,1742534070.4951675
87,3.906249901319825e-07,1742534317.114896
88,3.906249901319825e-07,1742534563.266636
89,3.906249901319825e-07,1742534810.1854262
90,1.953124950659913e-07,1742535057.0217345
91,1.953124950659913e-07,1742535303.0545735
92,1.953124950659913e-07,1742535549.6221125
93,1.953124950659913e-07,1742535796.525151
94,1.953124950659913e-07,1742536042.9235954
95,1.953124950659913e-07,1742536290.0469692
96,1.953124950659913e-07,1742536536.894513
97,1.953124950659913e-07,1742536783.4513566
98,1.953124950659913e-07,1742537029.8117564
99,1.953124950659913e-07,1742537276.86417
