// filepath: /Users/sydg/VSCode/FFDSR/实验结果csv/处理后/srcnn_avg_Loss_Train.csv
Step,Value,Wall time
0,0.013218792155385,1742381522.4950497
1,0.00464683608151968,1742381784.800082
2,0.0038108268752693594,1742382046.6673868
3,0.00333041851408772,1742382306.8971806
4,0.0030654051341115996,1742382564.1585083
5,0.0028466633986681403,1742382824.0932188
6,0.00270597222261128,1742383081.899377
7,0.00257698181085284,1742383342.9168308
8,0.00248461258597666,1742383603.0439177
9,0.0024121698457747398,1742383860.4302948
10,0.00233634202741082,1742384121.3475792
11,0.0023121558129786998,1742384382.1827507
12,0.0022697946988046,1742384639.121845
13,0.00226069632917638,1742384895.8635528
14,0.00222883471287782,1742385155.087488
15,0.0021926710382103197,1742385413.087365
16,0.00217537558637554,1742385673.4968967
17,0.00214817235246294,1742385931.1642704
18,0.0021265246905385797,1742386191.7802982
19,0.0020980615168809196,1742386452.875093
20,0.00209398353472348,1742386711.3190525
21,0.00208720325026656,1742386971.2573204
22,0.00205591802950942,1742387228.3780882
23,0.0020569811109453,1742387485.0803564
24,0.00205479741562152,1742387741.8228164
25,0.00204524984583252,1742388001.0500343
26,0.00203560348600144,1742388260.8401475
27,0.00202997482847416,1742388517.778197
28,0.00199684381950642,1742388774.7234917
29,0.0020017549395560602,1742389034.9404294
30,0.00200478937476866,1742389296.43012
31,0.00199354402720924,1742389554.9047012
32,0.00198035954963412,1742389815.958796
33,0.00199973245616998,1742390073.1789238
34,0.00197789384983476,1742390331.2809403
35,0.0019911367446183805,1742390587.5141697
36,0.0019778118003159198,1742390844.0121603
37,0.00195987471379334,1742391099.5591204
38,0.00196442513260984,1742391356.307801
39,0.0019711839966475397,1742391612.906237
40,0.0019485771888866597,1742391870.3571537
41,0.00195484515279526,1742392127.181069
42,0.00193764348514374,1742392382.5819068
43,0.0019492432242258998,1742392639.9308934
44,0.00196140194311732,1742392896.854005
45,0.0019588036462664,1742393153.51959
46,0.0019473881227895,1742393408.9526815
47,0.00194542533718046,1742393665.2624855
48,0.0019379185279830597,1742393920.041093
49,0.0019465612713247399,1742394177.4133184
50,0.0019491487415507,1742394434.6905878
51,0.00194096548948432,1742394690.217832
52,0.0019353088689967601,1742394945.1246245
53,0.0019408547552302,1742395200.2743406
54,0.0019371356815099199,1742395456.1766312
55,0.0019543791189789,1742395711.962555
56,0.00193156735040244,1742395969.1221964
57,0.0019461616408079402,1742396225.9705915
58,0.0019322925014420597,1742396480.9235032
59,0.0019478850299491598,1742396735.8014226
60,0.0019233169965445402,1742396992.949902
61,0.0019261616282164602,1742397247.8225458
62,0.0019342208979650798,1742397503.448846
63,0.0019445317331701,1742397760.554253
64,0.0019245328847318599,1742398017.194872
65,0.0019475401379167399,1742398274.2635934
66,0.00193820523563768,1742398529.1875403
67,0.0019371979171409598,1742398785.9502394
68,0.0019212549552321,1742399042.6535723
69,0.00194281961303198,1742399299.6579869
70,0.00192519798874848,1742399556.7830377
71,0.00193884281907226,1742399813.5243168
72,0.00192456257063892,1742400068.7335107
73,0.00192175828851754,1742400326.0769064
74,0.0019324647029861398,1742400582.1462984
75,0.00192116929683828,1742400838.497357
76,0.00193350245244796,1742401093.8126853
77,0.00193026948254552,1742401350.431954
78,0.0019141075899824004,1742401607.4206088
79,0.00193834239616986,1742401864.167493
80,0.00192746035754678,1742402120.506097
81,0.00194427596870804,1742402377.799466
82,0.0019264269853010198,1742402635.3169136
83,0.0019319033250212,1742402889.784378
84,0.0019417417934163802,1742403146.4072084
85,0.0019240630324929599,1742403403.4463542
86,0.0019254341721534,1742403658.8597584
87,0.0019262301269918202,1742403913.9530048
88,0.00191580827813588,1742404168.2726169
89,0.00193756974767888,1742404425.47792
90,0.0019524996401741601,1742404681.2660654
91,0.0019362036138772403,1742404936.5158749
92,0.0019315302371978,1742405193.983769
93,0.00190883541945362,1742405450.652963
94,0.0019379866542293997,1742405708.1555066
95,0.0019264221657067202,1742405965.039472
96,0.0019336422439663998,1742406221.9915347
97,0.00193046175409104,1742406479.7557993
98,0.00193646834231908,1742406737.2224803
99,0.0019377808319404398,1742406993.239979
